Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
"ATTACHMENT 4 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/936,ATTA,11503_i20/PENE-50,"BTRM-1000-2""-D7610008-11503-01",E 212901.999mm N 148800.009mm U 462.003mm,,,,
ileave tube of /SL-171512.2,=67132086/934,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-D7610008-11503-01",E 212901.999mm N 148949.998mm U 462.003mm,,,,
SL-171512.2,=67132086/934,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D7610008-11503-01",E 212901.999mm N 150649.996mm U 462.003mm,,,,
ileave tube of =67132086/933,=67132086/933,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-D7610008-11503-01",E 212901.999mm N 150861.998mm U 462.003mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/933,ELBO,11503_i20/E90B-50,"BTRM-1000-2""-D7610008-11503-01",E 212901.999mm N 151150mm U 462.003mm,,,,
ileave tube of =67132086/932,=67132086/932,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-D7610008-11503-01",E 212257.499mm N 151150mm U 462.003mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/932,FLAN,11503_i20/WNFL-50,"BTRM-1000-2""-D7610008-11503-01",E 211624.999mm N 151150mm U 462.003mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/931,GASK,11503_i20/GKSW-50,"BTRM-1000-2""-D7610008-11503-01",E 211621.999mm N 151150mm U 462.003mm,,,,
"VALVE 2 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/930,VALV,11503_i20/BVRFS-50,"BTRM-1000-2""-D7610008-11503-01",E 211532.999mm N 151150mm U 462.003mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/929,GASK,11503_i20/GKSW-50,"BTRM-1000-2""-D7610008-11503-01",E 211440.999mm N 151150mm U 462.003mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/928,FLAN,11503_i20/WNFL-50,"BTRM-1000-2""-D7610008-11503-01",E 211440.999mm N 151150mm U 462.003mm,,,,
ileave tube of /PS-171090.2,=67132086/927,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-D7610008-11503-01",E 211216.5mm N 151150mm U 462.003mm,,,,
PS-171090.2,=67132086/927,ATTA,MDS/GT575-50-PMP,"BTRM-1000-2""-D7610008-11503-01",E 211056mm N 151150mm U 462.003mm,,,,
PS-171090.1,=67132086/926,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D7610008-11503-01",E 211056mm N 151150mm U 462.003mm,,,,
ileave tube of =67132086/925,=67132086/925,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-D7610008-11503-01",E 210899mm N 151150mm U 462.003mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/925,FLAN,11503_i20/WNFL-50,"BTRM-1000-2""-D7610008-11503-01",E 210677.999mm N 151150mm U 462.003mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/924,GASK,11503_i20/GKSW-50,"BTRM-1000-2""-D7610008-11503-01",E 210674.999mm N 151150mm U 462.003mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/923,VALV,11503_i20/CHVF-50,"BTRM-1000-2""-D7610008-11503-01",E 210573.499mm N 151150mm U 462.003mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/922,GASK,11503_i20/GKSW-50,"BTRM-1000-2""-D7610008-11503-01",E 210468.999mm N 151150mm U 462.003mm,,,,
"FBLIND 1 of BRANCH /BTRM-1000-2""-D7610008-11503-01/B1",=67132086/921,FBLI,11503_i20/BLFL-50,"BTRM-1000-2""-D7610008-11503-01",E 210468.999mm N 151150mm U 462.003mm,,,,
"BTRM-1000-2""-D7610008-11503-01/B1",=67132086/920,BRAN,,"BTRM-1000-2""-D7610008-11503-01",,,,,
"BTRM-1000-2""-D7610008-11503-01",=67132086/919,PIPE,,"BTRM-1000-2""-D7610008-11503-01",,,,,
ileave tube of /PS-171059.11,=67132086/918,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155970.026mm U 511.389mm,,,,
PS-171059.11,=67132086/918,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155883.607mm U 511.821mm,,,,
PS-171059.6,=67132086/917,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155883.607mm U 511.821mm,,,,
ileave tube of =67132086/916,=67132086/916,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155795.648mm U 512.261mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/916,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155627.69mm U 513.101mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/915,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155624.49mm U 513.117mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/914,PCOM,66620M0r01-GAS1/SBNF-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155614.791mm U 513.166mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/913,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155611.591mm U 513.182mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/912,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155465.592mm U 513.912mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/911,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155316.394mm U 514.658mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/910,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155316.394mm U 514.658mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/909,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182722.178mm N 155160.398mm U 515.438mm,,,,
ileave tube of =67132086/908,=67132086/908,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182448.396mm N 155160.398mm U 516.807mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/908,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182174.992mm N 155160.398mm U 518.174mm,,,,
"ileave tube of /BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/907,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710009-66620M0-01",E 182174.992mm N 155160.399mm U 711.975mm,,,,
"BTRM-1000-2""-D1710009-66620M0-01/B1",=67132086/907,BRAN,,"BTRM-1000-2""-D1710009-66620M0-01",,,,,
"BTRM-1000-2""-D1710009-66620M0-01",=67132086/906,PIPE,,"BTRM-1000-2""-D1710009-66620M0-01",,,,,
"BEND 1 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/905,BEND,66620M0r01-GAS1/BEND-50,"BTRM-1000-2""-D1710005-66620M0-01",E 181849.647mm N 153975.119mm U 569.938mm,,,,
ileave tube of =67132086/904,=67132086/904,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710005-66620M0-01",E 181800.854mm N 153975.029mm U 618.724mm,,,,
"ELBOW 4 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/904,ELBO,66620M0r01-GAS1/E45B-50,"BTRM-1000-2""-D1710005-66620M0-01",E 181727.31mm N 153974.894mm U 692.258mm,,,,
ileave tube of =67132086/903,=67132086/903,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710005-66620M0-01",E 181328.358mm N 153974.894mm U 694.253mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/903,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153974.894mm U 696.453mm,,,,
ileave tube of /PS-171060.4,=67132086/902,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153834.522mm U 697.155mm,,,,
PS-171060.4,=67132086/902,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153770.147mm U 697.477mm,,,,
PS-171060.1,=67132086/901,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153770.147mm U 697.477mm,,,,
ileave tube of =67132086/900,=67132086/900,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153682.118mm U 697.917mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/900,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153514.09mm U 698.757mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/899,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153510.89mm U 698.773mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/898,PCOM,66620M0r01-GAS1/SBNF-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153501.191mm U 698.822mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/897,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153497.991mm U 698.838mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/896,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153351.992mm U 699.568mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/895,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153202.794mm U 700.314mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/894,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153202.794mm U 700.314mm,,,,
ileave tube of =67132086/893,=67132086/893,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 153047.796mm U 701.089mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/893,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710005-66620M0-01",E 180888.408mm N 152896.8mm U 701.844mm,,,,
ileave tube of =67132086/892,=67132086/892,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710005-66620M0-01",E 181156.893mm N 152896.8mm U 703.186mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/892,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710005-66620M0-01",E 181425mm N 152896.8mm U 704.527mm,,,,
"BTRM-1000-2""-D1710005-66620M0-01/B1",=67132086/891,BRAN,,"BTRM-1000-2""-D1710005-66620M0-01",,,,,
"BTRM-1000-2""-D1710005-66620M0-01",=67132086/890,PIPE,,"BTRM-1000-2""-D1710005-66620M0-01",,,,,
"BEND 1 of BRANCH /BTRM-1000-4""-D1710008-11503-01/B2",=67132086/889,BEND,11503_i20/BEND-100,"BTRM-1000-4""-D1710008-11503-01",E 182722.177mm N 159153.202mm U 494.972mm,,,,
ileave tube of /SL-171503.1,=67132086/888,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D1710008-11503-01",E 182722.178mm N 158811.404mm U 496.931mm,,,,
SL-171503.1,=67132086/888,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-D1710008-11503-01",E 182722.178mm N 158469.606mm U 498.89mm,,,,
ileave tube of =67132086/887,=67132086/887,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-D1710008-11503-01",E 182722.178mm N 158047.816mm U 500.999mm,,,,
"TEE 1 of BRANCH /BTRM-1000-4""-D1710008-11503-01/B2",=67132086/887,TEE,11503_i20/TERB-100x80,"BTRM-1000-4""-D1710008-11503-01",E 182722.178mm N 157521.027mm U 503.634mm,,,,
"BTRM-1000-4""-D1710008-11503-01/B2",=67132086/886,BRAN,,"BTRM-1000-4""-D1710008-11503-01",,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-D1710008-11503-01/B1",=67132086/885,FLAN,61503_i20/WNFL-100,"BTRM-1000-4""-D1710008-11503-01",E 182722.178mm N 157307.03mm U 504.704mm,,,,
"BTRM-1000-4""-D1710008-11503-01/B1",=67132086/884,BRAN,,"BTRM-1000-4""-D1710008-11503-01",,,,,
"BTRM-1000-4""-D1710008-11503-01",=67132086/883,PIPE,,"BTRM-1000-4""-D1710008-11503-01",,,,,
"GASKET 7 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/882,GASK,66620M0r01-GAS1/GKSW-100,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 157303.83mm U 504.72mm,,,,
"FLANGE 6 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/881,FLAN,66620M0r01-GAS1/WNFL-100,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 157303.83mm U 504.72mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/880,REDU,66620M0r01-GAS1/RECB-100x50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 157194.831mm U 505.265mm,,,,
ileave tube of /SL-171504.3,=67132086/879,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156992.834mm U 506.275mm,,,,
SL-171504.3,=67132086/879,ATTA,MDS/GT573-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156892.835mm U 506.775mm,,,,
SL-171504.4,=67132086/878,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156892.835mm U 506.775mm,,,,
SL-171504.1,=67132086/877,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156892.835mm U 506.775mm,,,,
ileave tube of =67132086/876,=67132086/876,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156767.837mm U 507.4mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/876,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156562.839mm U 508.425mm,,,,
"GASKET 6 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/875,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156559.639mm U 508.441mm,,,,
"VALVE 2 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/874,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156413.641mm U 509.171mm,,,,
"GASKET 5 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/873,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156264.443mm U 509.917mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/872,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156264.443mm U 509.917mm,,,,
"TEE 2 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/871,TEE,66620M0r01-GAS1/TEEB-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182722.178mm N 156120.445mm U 510.637mm,,,,
ileave tube of =67132086/870,=67132086/870,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182608.178mm N 156120.445mm U 510.637mm,,,,
"BEND 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/870,BEND,66620M0r01-GAS1/BEND-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182558.178mm N 156120.445mm U 510.637mm,,,,
ileave tube of =67132086/869,=67132086/869,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182264.539mm N 156120.445mm U 512.105mm,,,,
"ELBOW 4 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/869,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 156120.445mm U 513.954mm,,,,
ileave tube of /PS-171059.12,=67132086/868,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 155964.93mm U 514.731mm,,,,
PS-171059.12,=67132086/868,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 155885.413mm U 515.129mm,,,,
PS-171059.8,=67132086/867,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 155885.413mm U 515.129mm,,,,
ileave tube of =67132086/866,=67132086/866,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 154962.152mm U 519.746mm,,,,
"TEE 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/866,TEE,66620M0r01-GAS1/TEEB-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 153974.892mm U 524.684mm,,,,
ileave tube of /PS-171061.7,=67132086/865,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 153843.508mm U 525.34mm,,,,
PS-171061.7,=67132086/865,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 153776.122mm U 525.676mm,,,,
PS-171061.2,=67132086/864,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 153776.122mm U 525.676mm,,,,
ileave tube of /PS-171063.3,=67132086/863,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 152788.462mm U 530.615mm,,,,
PS-171063.3,=67132086/863,ATTA,MDS/GT573-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 151800.802mm U 535.554mm,,,,
PS-171063.5,=67132086/862,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 151800.802mm U 535.554mm,,,,
PS-171063.2,=67132086/861,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 151800.802mm U 535.554mm,,,,
ileave tube of /PS-171067.7,=67132086/860,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 150202.506mm U 543.546mm,,,,
PS-171067.7,=67132086/860,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 148604.21mm U 551.538mm,,,,
PS-171067.3,=67132086/859,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 148604.21mm U 551.538mm,,,,
ileave tube of /PS-171074.2,=67132086/858,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 147552.506mm U 556.797mm,,,,
PS-171074.2,=67132086/858,ATTA,MDS/GT573-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 146500.802mm U 562.056mm,,,,
PS-171074.3,=67132086/857,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 146500.802mm U 562.056mm,,,,
PS-171074.1,=67132086/856,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 146500.802mm U 562.056mm,,,,
ileave tube of =67132086/855,=67132086/855,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.9mm N 146421.969mm U 562.45mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/855,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710017-66620M0-01",E 181894.902mm N 146267.184mm U 563.224mm,,,,
ileave tube of =67132086/854,=67132086/854,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182468.602mm N 146267.159mm U 630.396mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/854,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 146267.13mm U 697.569mm,,,,
ileave tube of /PS-171075.2,=67132086/853,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145913.603mm U 699.336mm,,,,
PS-171075.2,=67132086/853,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145636.027mm U 700.724mm,,,,
PS-171075.1,=67132086/852,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145636.027mm U 700.724mm,,,,
ileave tube of =67132086/851,=67132086/851,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145554.161mm U 701.196mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/851,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145392.296mm U 702.068mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/850,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145389.096mm U 702.084mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/849,PCOM,66620M0r01-GAS1/SBNF-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145379.396mm U 702.133mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/848,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145376.196mm U 702.149mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/847,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145230.198mm U 702.879mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/846,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145081mm U 703.625mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/845,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 145081mm U 703.625mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/844,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710017-66620M0-01",E 183042.303mm N 144925.002mm U 704.405mm,,,,
ileave tube of =67132086/843,=67132086/843,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182832.253mm N 144925.002mm U 704.405mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/843,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182618.203mm N 144925.002mm U 704.405mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/842,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-D1710017-66620M0-01",E 182615.003mm N 144925.002mm U 704.405mm,,,,
"BTRM-1000-2""-D1710017-66620M0-01/B1",=67132086/841,BRAN,,"BTRM-1000-2""-D1710017-66620M0-01",,,,,
"BTRM-1000-2""-D1710017-66620M0-01",=67132086/840,PIPE,,"BTRM-1000-2""-D1710017-66620M0-01",,,,,
"BEND 1 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/839,BEND,66620M0r01-GAS1/BEND-50,"BTRM-1000-2""-D1710002-66620M0-01",E 172250.416mm N 158372.195mm U 551.588mm,,,,
ileave tube of /PS-171077.2,=67132086/838,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710002-66620M0-01",E 172250.416mm N 158839.082mm U 553.922mm,,,,
PS-171077.2,=67132086/838,ATTA,MDS/AN578-50-PMP,"BTRM-1000-2""-D1710002-66620M0-01",E 172250.416mm N 159305.968mm U 556.257mm,,,,
PS-171077.1,=67132086/837,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-D1710002-66620M0-01",E 172250.416mm N 159305.968mm U 556.257mm,,,,
ileave tube of =67132086/836,=67132086/836,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-2""-D1710002-66620M0-01",E 172250.416mm N 159844.118mm U 558.948mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-2""-D1710002-66620M0-01/B1",=67132086/836,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-2""-D1710002-66620M0-01",E 172250.416mm N 160458.265mm U 562.019mm,,,,
